start_utc,value
2026-01-12T00:00:00+00:00,112
2026-01-12T00:30:00+00:00,111
2026-01-12T01:00:00+00:00,94
2026-01-12T01:30:00+00:00,85
2026-01-12T02:00:00+00:00,71
2026-01-12T02:30:00+00:00,74
2026-01-12T03:00:00+00:00,86
2026-01-12T03:30:00+00:00,76
2026-01-12T04:00:00+00:00,82
2026-01-12T04:30:00+00:00,74
2026-01-12T05:00:00+00:00,78
2026-01-12T05:30:00+00:00,79
2026-01-12T06:00:00+00:00,62
2026-01-12T06:30:00+00:00,99
2026-01-12T07:00:00+00:00,102
2026-01-12T07:30:00+00:00,111
2026-01-12T08:00:00+00:00,95
2026-01-12T08:30:00+00:00,105
2026-01-12T09:00:00+00:00,126
2026-01-12T09:30:00+00:00,143
2026-01-12T10:00:00+00:00,480
2026-01-12T10:30:00+00:00,171
2026-01-12T11:00:00+00:00,190
2026-01-12T11:30:00+00:00,187
2026-01-12T12:00:00+00:00,209
2026-01-12T12:30:00+00:00,220
2026-01-12T13:00:00+00:00,216
2026-01-12T13:30:00+00:00,252
2026-01-12T14:00:00+00:00,245
2026-01-12T14:30:00+00:00,258
2026-01-12T15:00:00+00:00,239
2026-01-12T15:30:00+00:00,240
2026-01-12T16:00:00+00:00,246
2026-01-12T16:30:00+00:00,248
2026-01-12T17:00:00+00:00,255
2026-01-12T17:30:00+00:00,246
2026-01-12T18:00:00+00:00,233
2026-01-12T18:30:00+00:00,220
2026-01-12T19:00:00+00:00,217
2026-01-12T19:30:00+00:00,229
2026-01-12T20:00:00+00:00,195
2026-01-12T20:30:00+00:00,197
2026-01-12T21:00:00+00:00,188
2026-01-12T21:30:00+00:00,154
2026-01-12T22:00:00+00:00,161
2026-01-12T22:30:00+00:00,164
2026-01-12T23:00:00+00:00,113
2026-01-12T23:30:00+00:00,122
2026-01-13T00:00:00+00:00,114
2026-01-13T00:30:00+00:00,95
2026-01-13T01:00:00+00:00,102
2026-01-13T01:30:00+00:00,88
2026-01-13T02:00:00+00:00,64
2026-01-13T02:30:00+00:00,87
2026-01-13T03:00:00+00:00,81
2026-01-13T03:30:00+00:00,82
2026-01-13T04:00:00+00:00,87
2026-01-13T04:30:00+00:00,75
2026-01-13T05:00:00+00:00,74
2026-01-13T05:30:00+00:00,61
2026-01-13T06:00:00+00:00,89
2026-01-13T06:30:00+00:00,81
2026-01-13T07:00:00+00:00,91
2026-01-13T07:30:00+00:00,90
2026-01-13T08:00:00+00:00,103
2026-01-13T08:30:00+00:00,119
2026-01-13T09:00:00+00:00,152
2026-01-13T09:30:00+00:00,124
2026-01-13T10:00:00+00:00,143
2026-01-13T10:30:00+00:00,175
2026-01-13T11:00:00+00:00,201
2026-01-13T11:30:00+00:00,201
2026-01-13T12:00:00+00:00,182
2026-01-13T12:30:00+00:00,185
2026-01-13T13:00:00+00:00,228
2026-01-13T13:30:00+00:00,223
2026-01-13T14:00:00+00:00,225
2026-01-13T14:30:00+00:00,255
2026-01-13T15:00:00+00:00,260
2026-01-13T15:30:00+00:00,251
2026-01-13T16:00:00+00:00,253
2026-01-13T16:30:00+00:00,254
2026-01-13T17:00:00+00:00,266
2026-01-13T17:30:00+00:00,251
2026-01-13T18:00:00+00:00,244
2026-01-13T18:30:00+00:00,238
2026-01-13T19:00:00+00:00,205
2026-01-13T19:30:00+00:00,230
2026-01-13T20:00:00+00:00,216
2026-01-13T20:30:00+00:00,201
2026-01-13T21:00:00+00:00,160
2026-01-13T21:30:00+00:00,164
2026-01-13T22:00:00+00:00,170
2026-01-13T22:30:00+00:00,127
2026-01-13T23:00:00+00:00,134
2026-01-13T23:30:00+00:00,138
2026-01-14T00:00:00+00:00,99
2026-01-14T00:30:00+00:00,125
2026-01-14T01:00:00+00:00,103
2026-01-14T01:30:00+00:00,87
2026-01-14T02:00:00+00:00,86
2026-01-14T02:30:00+00:00,85
2026-01-14T03:00:00+00:00,75
2026-01-14T03:30:00+00:00,85
2026-01-14T04:00:00+00:00,62
2026-01-14T04:30:00+00:00,66
2026-01-14T05:00:00+00:00,86
2026-01-14T05:30:00+00:00,77
2026-01-14T06:00:00+00:00,71
2026-01-14T06:30:00+00:00,100
2026-01-14T07:00:00+00:00,114
2026-01-14T07:30:00+00:00,100
2026-01-14T08:00:00+00:00,98
2026-01-14T08:30:00+00:00,124
2026-01-14T09:00:00+00:00,135
2026-01-14T09:30:00+00:00,145
2026-01-14T10:00:00+00:00,177
2026-01-14T10:30:00+00:00,159
2026-01-14T11:00:00+00:00,198
2026-01-14T11:30:00+00:00,179
2026-01-14T12:00:00+00:00,196
2026-01-14T12:30:00+00:00,222
2026-01-14T13:00:00+00:00,237
2026-01-14T13:30:00+00:00,242
2026-01-14T14:00:00+00:00,242
2026-01-14T14:30:00+00:00,245
2026-01-14T15:00:00+00:00,249
2026-01-14T15:30:00+00:00,256
2026-01-14T16:00:00+00:00,248
2026-01-14T16:30:00+00:00,253
2026-01-14T17:00:00+00:00,254
2026-01-14T17:30:00+00:00,243
2026-01-14T18:00:00+00:00,247
2026-01-14T18:30:00+00:00,238
2026-01-14T19:00:00+00:00,248
2026-01-14T19:30:00+00:00,219
2026-01-14T20:00:00+00:00,200
2026-01-14T20:30:00+00:00,190
2026-01-14T21:00:00+00:00,183
2026-01-14T21:30:00+00:00,183
2026-01-14T22:00:00+00:00,156
2026-01-14T22:30:00+00:00,153
2026-01-14T23:00:00+00:00,159
2026-01-14T23:30:00+00:00,95
2026-01-15T00:00:00+00:00,102
2026-01-15T00:30:00+00:00,108
2026-01-15T01:00:00+00:00,101
2026-01-15T01:30:00+00:00,91
2026-01-15T02:00:00+00:00,77
2026-01-15T02:30:00+00:00,85
2026-01-15T03:00:00+00:00,76
2026-01-15T03:30:00+00:00,65
2026-01-15T04:00:00+00:00,99
2026-01-15T04:30:00+00:00,75
2026-01-15T05:00:00+00:00,66
2026-01-15T05:30:00+00:00,76
2026-01-15T06:00:00+00:00,79
2026-01-15T06:30:00+00:00,88
2026-01-15T07:00:00+00:00,64
2026-01-15T07:30:00+00:00,99
2026-01-15T08:00:00+00:00,127
2026-01-15T08:30:00+00:00,112
2026-01-15T09:00:00+00:00,136
2026-01-15T09:30:00+00:00,160
2026-01-15T10:00:00+00:00,170
2026-01-15T10:30:00+00:00,190
2026-01-15T11:00:00+00:00,163
2026-01-15T11:30:00+00:00,190
2026-01-15T12:00:00+00:00,201
2026-01-15T12:30:00+00:00,222
2026-01-15T13:00:00+00:00,237
2026-01-15T13:30:00+00:00,199
2026-01-15T14:00:00+00:00,251
2026-01-15T14:30:00+00:00,226
2026-01-15T15:00:00+00:00,255
2026-01-15T15:30:00+00:00,231
2026-01-15T16:00:00+00:00,252
2026-01-15T16:30:00+00:00,264
2026-01-15T17:00:00+00:00,245
2026-01-15T17:30:00+00:00,245
2026-01-15T18:00:00+00:00,248
2026-01-15T18:30:00+00:00,233
2026-01-15T19:00:00+00:00,223
2026-01-15T19:30:00+00:00,233
2026-01-15T20:00:00+00:00,218
2026-01-15T20:30:00+00:00,191
2026-01-15T21:00:00+00:00,216
2026-01-15T21:30:00+00:00,158
2026-01-15T22:00:00+00:00,171
2026-01-15T22:30:00+00:00,145
2026-01-15T23:00:00+00:00,138
2026-01-15T23:30:00+00:00,134
2026-01-16T00:00:00+00:00,118
2026-01-16T00:30:00+00:00,113
2026-01-16T01:00:00+00:00,78
2026-01-16T01:30:00+00:00,70
2026-01-16T02:00:00+00:00,89
2026-01-16T02:30:00+00:00,65
2026-01-16T03:00:00+00:00,61
2026-01-16T03:30:00+00:00,53
2026-01-16T04:00:00+00:00,85
2026-01-16T04:30:00+00:00,80
2026-01-16T05:00:00+00:00,91
2026-01-16T05:30:00+00:00,66
2026-01-16T06:00:00+00:00,82
2026-01-16T06:30:00+00:00,75
2026-01-16T07:00:00+00:00,106
2026-01-16T07:30:00+00:00,124
2026-01-16T08:00:00+00:00,104
2026-01-16T08:30:00+00:00,144
2026-01-16T09:00:00+00:00,149
2026-01-16T09:30:00+00:00,146
2026-01-16T10:00:00+00:00,136
2026-01-16T10:30:00+00:00,189
2026-01-16T11:00:00+00:00,182
2026-01-16T11:30:00+00:00,187
2026-01-16T12:00:00+00:00,210
2026-01-16T12:30:00+00:00,220
2026-01-16T13:00:00+00:00,242
2026-01-16T13:30:00+00:00,219
2026-01-16T14:00:00+00:00,252
2026-01-16T14:30:00+00:00,261
2026-01-16T15:00:00+00:00,264
2026-01-16T15:30:00+00:00,247
2026-01-16T16:00:00+00:00,241
2026-01-16T16:30:00+00:00,261
2026-01-16T17:00:00+00:00,248
2026-01-16T17:30:00+00:00,245
2026-01-16T18:00:00+00:00,255
2026-01-16T18:30:00+00:00,228
2026-01-16T19:00:00+00:00,196
2026-01-16T19:30:00+00:00,210
2026-01-16T20:00:00+00:00,183
2026-01-16T20:30:00+00:00,204
2026-01-16T21:00:00+00:00,187
2026-01-16T21:30:00+00:00,164
2026-01-16T22:00:00+00:00,160
2026-01-16T22:30:00+00:00,158
2026-01-16T23:00:00+00:00,138
2026-01-16T23:30:00+00:00,141
2026-01-17T00:00:00+00:00,114
2026-01-17T00:30:00+00:00,118
2026-01-17T01:00:00+00:00,114
2026-01-17T01:30:00+00:00,108
2026-01-17T02:00:00+00:00,74
2026-01-17T02:30:00+00:00,87
2026-01-17T03:00:00+00:00,51
2026-01-17T03:30:00+00:00,58
2026-01-17T04:00:00+00:00,46
2026-01-17T04:30:00+00:00,84
2026-01-17T05:00:00+00:00,58
2026-01-17T05:30:00+00:00,77
2026-01-17T06:00:00+00:00,80
2026-01-17T06:30:00+00:00,88
2026-01-17T07:00:00+00:00,89
2026-01-17T07:30:00+00:00,108
2026-01-17T08:00:00+00:00,136
2026-01-17T08:30:00+00:00,126
2026-01-17T09:00:00+00:00,143
2026-01-17T09:30:00+00:00,160
2026-01-17T10:00:00+00:00,158
2026-01-17T10:30:00+00:00,157
2026-01-17T11:00:00+00:00,177
2026-01-17T11:30:00+00:00,207
2026-01-17T12:00:00+00:00,185
2026-01-17T12:30:00+00:00,208
